epoch,step,obj_loss,tv_loss,n_kept,empty_keep,grad_mean,grad_max,grad_is_none,box_h,box_w,scale,patch_size,coverage_ratio
1,0,0.835783839225769,0.0,226,0,1.869340667326469e-05,0.008422079496085644,0,161.592296,70.84350000000002,0.3918280395373651,63,0.3467052659214383
1,1,0.868553876876831,2566.632080078125,446,0,0.0003801744896918535,0.005666026845574379,0,350.5645,328.777359,0.4209413642492037,147,0.1874842681796424
1,2,0.006222274620085955,6223.740234375,185,0,0.0010855583241209388,0.0048160734586417675,0,120.86533400000002,32.5715,0.32657654590558116,39,0.38635781219756116
1,3,0.9128243923187256,9556.41796875,381,0,0.0010750318178907037,0.0035337149165570736,0,262.938,237.012582,0.2079607909051591,54,0.04679104698276358
1,4,0.8226287961006165,9628.955078125,353,0,0.0011676661670207977,0.017776405438780785,0,252.493489,130.6955,0.266132186612209,67,0.13603128084128926
1,5,0.4231540858745575,8023.0751953125,328,0,0.001851578475907445,0.09916827082633972,0,176.687333,99.5605,0.4417457755498424,78,0.34585712024250115
1,6,0.5926263332366943,7887.2158203125,479,0,0.0018158506136387587,0.06252515316009521,0,359.892,375.3685,0.48716392166203437,175,0.2266971600875549
1,7,0.717661440372467,8482.658203125,222,0,0.0014338844921439886,0.08516152203083038,0,151.73600000000002,61.71533400000001,0.4542483099042379,68,0.493782973371124
1,8,0.7320078015327454,8846.453125,393,0,0.0012426372850313783,0.0240009818226099,0,358.484565,239.43296,0.36086842743641023,129,0.19387643474136634
1,9,0.17651721835136414,9130.212890625,148,0,0.0012800149852409959,0.12693901360034943,0,124.94733300000001,45.40899999999999,0.4488213992758985,56,0.552722476451101
1,10,0.6574001908302307,9249.58984375,478,0,0.0016807671636343002,0.057128217071294785,0,407.583255,287.729,0.4113715508644771,167,0.23781156594011219
1,11,0.7910609245300293,9386.333984375,338,0,0.0010064683156087995,0.011937873438000679,0,247.4368,108.59264000000002,0.22393759307708827,55,0.11257985814724948
1,12,0.007269890513271093,9354.25390625,94,0,0.0009609964909031987,0.0042711226269602776,0,51.92187799999999,30.9465,0.39070533327932006,20,0.2489419349258523
1,13,0.9056286215782166,9166.728515625,347,0,0.0009478018037043512,0.009743992239236832,0,282.00362599999994,94.31551999999999,0.280093346614734,78,0.22874486278394512
1,14,0.42820194363594055,8867.0546875,189,0,0.000991986831650138,0.11425229907035828,0,72.58160000000001,49.067199999999985,0.2513415944594291,18,0.09097607514536328
1,15,0.6221250891685486,8525.09375,454,0,0.0012711274903267622,0.03254701569676399,0,302.2066669999999,138.5085,0.4968570051909786,150,0.5375291872808297
1,16,0.20413702726364136,8260.376953125,453,0,0.0012943580513820052,0.07472188025712967,0,229.45684199999997,90.56320000000001,0.4528555760569429,103,0.5105304822463402
1,17,0.11097808927297592,8151.98388671875,57,0,0.0009092719410546124,0.08232194930315018,0,23.048999999999978,43.499765,0.2946359144177246,8,0.06383237086506292
1,18,0.7954839468002319,8091.37109375,58,0,0.0008990768110379577,0.024925606325268745,0,43.08928000000003,24.826880000000017,0.46291028794180067,19,0.3374549628043423
1,19,0.0007631239714100957,7961.7373046875,34,0,0.0008782004006206989,0.00214850134216249,0,40.846000000000004,19.980999999999995,0.47436427692216304,19,0.4423239437304837
